"","X","rater_id","rated_ID","Group","presItem","prestigeRatings","id","Age","Sex","Score","OverConf","nominated","initInf","initLrn","Liked","Inflntl","ScoreC","OverConfC","raterId","ratedID","grpID","itemID"
"56","8.R8",7,10,2,"R8",4,8,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,108,1,10,9
"60","8.R13",7,10,2,"R13",4,8,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,108,1,10,2
"64","8.R14",7,10,2,"R14",1,8,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,108,1,10,3
"68","8.R15",7,10,2,"R15",2,8,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,108,1,10,4
"72","8.R17rev",7,10,2,"R17rev",6,8,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,108,1,10,5
"76","12.R1",8,10,2,"R1",2,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,1
"80","12.R2rev",8,10,2,"R2rev",6,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,6
"84","12.R4",8,10,2,"R4",3,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,7
"88","12.R6rev",8,10,2,"R6rev",4,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,8
"92","12.R8",8,10,2,"R8",3,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,9
"96","12.R13",8,10,2,"R13",5,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,2
"100","12.R14",8,10,2,"R14",4,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,3
"104","12.R15",8,10,2,"R15",3,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,4
"108","12.R17rev",8,10,2,"R17rev",6,12,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,118,1,10,5
"112","16.R1",9,10,2,"R1",6,16,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,127,1,10,1
"116","16.R2rev",9,10,2,"R2rev",6,16,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,127,1,10,6
"120","16.R4",9,10,2,"R4",4,16,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,127,1,10,7
"124","16.R6rev",9,10,2,"R6rev",7,16,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,127,1,10,8
"128","16.R8",9,10,2,"R8",6,16,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,127,1,10,9
"132","16.R13",9,10,2,"R13",5,16,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,127,1,10,2
"136","16.R14",9,10,2,"R14",3,16,26,0,29,0,0,0,0,0.833333333333333,0.319444444444444,0.161087866108787,-0.211297071129707,127,1,10,3
