"","Rater_ID","Name","position","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R2rev","R6rev","R10rev","R12rev","R17rev","dominanceMean","prestigeMean","Psum","Pprop","Dsum","Dprop"
"1",6,"David Attenborough","Broadcaster",7,1,2,6,1,1,1,7,2,6,1,2,7,7,2,1,1,7,7,2,6,7,2,6.33333333333333,57,0.888888888888889,16,0.166666666666667
"2",7,"David Attenborough","Broadcaster",7,1,1,7,1,1,1,7,1,4,1,1,7,7,1,1,1,7,7,4,7,7,2.125,6.33333333333333,57,0.888888888888889,17,0.1875
"3",8,"Jane Goodall","Primatologist",7,1,2,6,2,1,1,7,2,7,2,6,7,6,5,1,1,7,7,1,2,7,1.625,6.55555555555556,59,0.925925925925926,13,0.104166666666667
"4",9,"Theresa May","Prime Minister",4,5,7,5,7,4,5,3,4,5,4,1,3,4,2,2,6,3,4,3,7,2,4.875,3.33333333333333,30,0.388888888888889,39,0.645833333333333
"5",10,"Theresa May","Prime Minister",3,6,6,4,6,6,6,3,5,3,4,2,3,4,1,4,6,2,2,5,6,2,5.25,2.66666666666667,24,0.277777777777778,42,0.708333333333333
"6",11,"Caroline Lucas","Leader Green Party",5,2,1,4,4,4,2,3,2,2,3,3,4,4,2,1,2,6,4,6,5,6,3,4.22222222222222,38,0.537037037037037,24,0.333333333333333
"7",12,"Rick Stein","Celeb Chef",4,3,1,7,1,5,1,4,1,3,2,2,7,6,3,1,2,5,3,5,6,6,2.25,5,45,0.666666666666667,18,0.208333333333333
"8",13,"Jeremy Corbyn","Leader of opposition",6,2,4,4,6,2,6,6,6,1,4,2,6,6,6,2,2,6,6,7,6,6,5.125,5.77777777777778,52,0.796296296296296,41,0.6875
"9",14,"John Pollard","Councillor",4,4,4,5,3,4,2,4,1,2,1,2,4,5,6,1,1,4,4,6,6,7,3,4.77777777777778,43,0.62962962962963,24,0.333333333333333
"10",15,"Patrick Gale","Author",7,4,3,6,1,3,1,6,2,2,1,4,6,7,5,1,3,4,5,6,4,5,2.375,5.66666666666667,51,0.777777777777778,19,0.229166666666667
"11",16,"Queen Elizabeth","Queen",7,2,5,6,5,1,1,7,5,1,7,1,7,7,5,3,1,6,7,7,7,7,5,6.55555555555556,59,0.925925925925926,40,0.666666666666667
"12",17,"Mary Berry","Cook",5,1,1,5,1,1,1,6,1,2,3,3,7,7,2,1,1,7,7,6,5,7,2.375,5.88888888888889,53,0.814814814814815,19,0.229166666666667
"13",18,"Winston Churchill","Wartime PM",6,3,5,7,5,2,6,7,7,1,5,2,7,7,5,2,2,5,6,7,6,6,5.375,6.22222222222222,56,0.87037037037037,43,0.729166666666667
