"","X.1","X","ID","Group","Group_affiliation","YOB","Age","Gender","Sex","IndividScore","Est_Score","Overconfidence","Group_Quiz_Score","Group_Bonus_Score","Nominated","mode_influential","initial_influential","mode_learn","initial_learn","aveP","aveD","meanP","meanD","aveInf","aveLik","sScore","GroupID","o_conf","ageS","OConfBIN"
"58",69,69,79,16,"PsychSoc Streatham G1",1998,20,"F",1,22,2,-20,34,4,0,76,0,0,0,0.574074074074074,0.0208333333333333,4.44444444444445,1.125,0.222222222222222,0.666666666666667,-6.625,6,-15.4926470588235,-26.4852941176471,0
"59",70,70,80,16,"PsychSoc Streatham G1",1997,21,"F",1,28,23,-5,34,4,1,76,0,0,0,0.820987654320988,0.479166666666667,5.92592592592593,3.875,0.888888888888889,0.777777777777778,-0.625,6,-0.492647058823529,-25.4852941176471,0
"60",72,72,82,17,"PsychSoc Streatham G2",1997,21,"F",1,29,20,-9,33,4,0,82,1,82,1,0.773148148148148,0.276041666666667,5.63888888888889,2.65625,0.666666666666667,0.9375,0.375,7,-4.49264705882353,-25.4852941176471,0
"61",73,73,83,17,"PsychSoc Streatham G2",1998,20,"F",1,26,25,-1,33,4,0,82,0,82,0,0.527777777777778,0.114583333333333,4.16666666666667,1.6875,0.361111111111111,0.770833333333333,-2.625,7,3.50735294117647,-26.4852941176471,0
"62",74,74,84,17,"PsychSoc Streatham G2",1998,20,"F",1,26,20,-6,33,4,0,82,0,82,0,0.708333333333333,0.182291666666667,5.25,2.09375,0.486111111111111,0.8125,-2.625,7,-1.49264705882353,-26.4852941176471,0
"63",75,75,85,17,"PsychSoc Streatham G2",1998,20,"F",1,32,20,-12,33,4,0,82,0,82,0,0.759259259259259,0.520833333333333,5.55555555555556,4.125,0.819444444444444,0.8125,3.375,7,-7.49264705882353,-26.4852941176471,0
"64",76,76,86,18,"Dyslexia Cornwall",1959,59,"F",1,28,25,-3,32,4,0,87,0,86,1,0.62962962962963,0.583333333333333,4.77777777777778,4.5,0.5,0.583333333333333,-0.625,8,1.50735294117647,12.5147058823529,0
"65",77,77,87,18,"Dyslexia Cornwall",1966,52,"F",1,28,30,2,32,4,1,87,1,86,0,0.611111111111111,0.65625,4.66666666666667,4.9375,0.611111111111111,0.541666666666667,-0.625,8,6.50735294117647,5.51470588235294,1
"66",78,78,88,18,"Dyslexia Cornwall",1950,68,"F",1,30,35,5,32,4,0,87,0,86,0,0.851851851851852,0.510416666666667,6.11111111111111,4.0625,0.666666666666667,0.916666666666667,1.375,8,9.50735294117647,21.5147058823529,1
"67",79,79,89,18,"Dyslexia Cornwall",1956,62,"F",1,29,20,-9,32,4,0,87,0,86,0,0.796296296296296,0.145833333333333,5.77777777777778,1.875,0.5,1,0.375,8,-4.49264705882353,15.5147058823529,0
